코드,업체명,제품명,단위,수리일자,약효분류,적응증,축종명칭
100090-A-0227,서울화장품,닥터 프렌시아 시어버터 투 페이즈 미스트,L,2020-04-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100225-A-0035,독샤워,마데큐어 스킨,KG,2020-04-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100225-A-0036,독샤워,마데큐어 팩,KG,2020-04-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100225-A-0037,독샤워,아로마붐 디스트레스,KG,2020-04-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100225-A-0038,독샤워,마데큐어 샴푸,KG,2020-04-13,KC20100B131,세척용샴푸,개/강아지/고양이
100359-A-0022,한국애견용품연구소,오와우 반려동물 퀵드라이미스트,L,2020-04-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100391-A-0001,와이제이케이 코스메틱,테일러쉬 버블바스,KG,2020-04-13,KC20100A131,세척용샴푸,개/강아지/고양이
100024-A-0077,다원케미칼,하이자임 산,KG,2020-04-09,HZ12101A111,비타민공급약,어류
200385-A-0030,인터펫코리아,버츠비 캣 댄더 리듀싱 스프레이,L,2020-04-09,KC90001B132,애완동물용보습제,개/강아지/고양이
200385-A-0031,인터펫코리아,버츠비 티어리스 샴푸 포 키튼,L,2020-04-09,KC20100B122,세척용샴푸,강아지/고양이
100023-A-0017,한풍산업,비타마인 프로,L,2020-04-06,HZ12901B151,기타영양공급약,소/염소/말/면양/가금
100023-A-0018,한풍산업,비타마인 포르테,L,2020-04-06,HZ12901B131,기타영양공급약,소/돼지/가금
100114-A-0304,로쎄앙,치카펜 EM 캣,KG,2020-04-06,KC12001B111,치약,고양이
100114-A-0305,로쎄앙,치카펜 EM 독,KG,2020-04-06,KC12001B121,치약,개/강아지
100115-A-0095,이엘티사이언스,아로마이어가드,L,2020-04-06,KC60100B131,귀세척제,개/강아지/고양이
100115-A-0096,이엘티사이언스,아이드롭스클린,L,2020-04-06,KC60200B131,눈세척제,개/강아지/고양이
100225-A-0034,독샤워,마데큐어 치약,KG,2020-03-30,KC12001B131,치약,개/강아지/고양이
200385-A-0022,인터펫코리아,버츠비 케어플러스 너리싱 컨디셔너(아보카도&올리브오일),L,2020-03-30,KC20300B132,린스,개/강아지/고양이
200385-A-0023,인터펫코리아,버츠비 케어플러스 너리싱 리브인 컨디셔너 스프레이(아보카도+&올리브오일),L,2020-03-30,KC90001B132,애완동물용보습제,개/강아지/고양이
200385-A-0024,인터펫코리아,버츠비 티어 스테인 리무버,L,2020-03-30,KC60300B132,눈주위세척제,개/강아지/고양이
200385-A-0025,인터펫코리아,버츠비 케어플러스 릴리빙 컨디셔너(카모마일&로즈마리),L,2020-03-30,KC20300B132,린스,개/강아지/고양이
200385-A-0026,인터펫코리아,버츠비 케어플러스 하이드레이팅 워터리스 샴푸 스프레이(코코넛오일),L,2020-03-30,KC20100B132,세척용샴푸,개/강아지/고양이
200385-A-0027,인터펫코리아,버츠비 케어플러스 릴리빙 이치 핫 스팟 스프레이(카모마일&로즈마리),L,2020-03-30,KC90001B132,애완동물용보습제,개/강아지/고양이
200385-A-0028,인터펫코리아,버츠비 케어플러스 릴리빙 포앤노즈 로션(카모마일&로즈마리),L,2020-03-30,KC90001B132,애완동물용보습제,개/강아지/고양이
200385-A-0029,인터펫코리아,버츠비 케어플러스 하이드레이팅 컨디셔너 (코코넛오일),L,2020-03-30,KC20300B132,린스,개/강아지/고양이
100183-A-0095,대주바이오,엔식스 리페어 펫샴푸,L,2020-03-27,KC20100B131,세척용샴푸,강아지/개/고양이
